Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL043C	PTA1	I	-	58695	61052	4.739610	576.416626	1405.779297
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	19.532652	2375.500244	5793.429688
YAL041W	CDC24	I	+	62840	65404	4.308382	523.971985	1277.876099
YAL040C	CLN3	I	-	65778	67520	3.552081	431.993042	1053.555420
YAL039C	CYC3	I	-	68716	69525	2.196296	267.106659	651.426514
YAL038W	CDC19	I	+	71786	73288	656.841980	79883.070312	194820.859375
YAL037C-B	YAL037C-B	I	-	72326	73300	3.987197	484.910461	1182.611938
YAL037C-A	YAL037C-A	I	-	73426	73518	0.526882	64.077744	156.274429
YAL037W	YAL037W	I	+	74020	74823	1.283271	156.067413	380.621155
YAL036C	RBG1	I	-	75043	76152	8.678266	1055.423584	2573.993896
YAL035W	FUN12	I	+	76427	79435	22.896809	2784.638428	6791.246582
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.642529	199.759262	487.177917
YAL034C	FUN19	I	-	80710	81951	2.148953	261.348969	637.384460
YAL033W	POP5	I	+	82706	83227	4.045019	491.942627	1199.762085
YAL032C	PRP45	I	-	83335	84474	2.711404	329.752502	804.208740
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	2.878230	350.041351	853.689697
YAL030W	SNC1	I	+	87286	87752	8.364407	1017.253052	2480.902344
YAL029C	MYO4	I	-	87855	92270	6.476364	787.635254	1920.904541
YAL028W	FRT2	I	+	92900	94486	0.928166	112.880646	275.296204
YAL027W	SAW1	I	+	94687	95472	2.218407	269.795746	657.984680
YAL026C-A	YAL026C-A	I	-	95386	95823	4.415930	537.051636	1309.775146
YAL026C	DRS2	I	-	95630	99697	5.065795	616.086182	1502.526611
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	3.865364	470.093506	1146.475952
YAL024C	LTE1	I	-	101565	105872	1.965094	238.988602	582.851440
YAL023C	PMT2	I	-	106272	108551	23.464474	2853.676270	6959.617676
YAL022C	FUN26	I	-	108877	110430	4.604448	559.978577	1365.689941
YAL021C	CCR4	I	-	110846	113359	7.216786	877.682983	2140.515381
YAL020C	ATS1	I	-	113614	114615	1.995010	242.626907	591.724609
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	5.043875	613.420410	1496.025024
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.301932	523.187561	1275.963013
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	13.134434	1597.368774	3895.703613
YAL015C	NTG1	I	-	126903	128102	1.607500	195.499130	476.788239
YAL014C	SYN8	I	-	128252	129019	3.416667	415.524384	1013.391357
YAL013W	DEP1	I	+	129270	130487	1.502053	182.675003	445.512421
YAL012W	CYS3	I	+	130799	131983	39.064980	4750.961426	11586.763672
YAL011W	SWC3	I	+	132199	134076	1.111106	135.129257	329.556610
YAL010C	MDM10	I	-	134184	135665	1.326586	161.335251	393.468475
YAL009W	SPO7	I	+	135854	136633	3.720513	452.477203	1103.512817
YAL008W	FUN14	I	+	136914	137510	4.487437	545.748047	1330.984253
YAL007C	ERP2	I	-	137698	138345	16.027784	1949.249146	4753.877930
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	530.778931	64551.675781	157430.265625
YAL004W	YAL004W	I	+	140760	141407	0.085323	10.376718	25.306999
YAL003W	EFB1	I	+	142174	143160	199.529785	24266.191406	59181.000000
snR18	snR18	I	+	142367	142468	5.843137	710.624084	1733.088013
YAL002W	VPS8	I	+	143707	147531	1.478693	179.834030	438.583771
YAL001C	TFC3	I	-	147594	151166	2.750790	334.542511	815.890686
YAR002W	NUP60	I	+	152257	153876	6.201234	754.174744	1839.300415
YAR002C-A	ERP1	I	-	154065	154724	20.416666	2483.011230	6055.630371
YAR003W	SWD1	I	+	155005	156285	3.584699	435.959900	1063.230103
YAR007C	RFA1	I	-	156754	158619	5.403269	657.128662	1602.622070
YAR008W	SEN34	I	+	158966	159793	2.159420	262.621918	640.489014
YAR009C	YAR009C	I	-	160597	164187	759.065430	92315.171875	225140.562500
YAR010C	YAR010C	I	-	164544	165866	804.719971	97867.531250	238681.812500
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	4.499530	547.218750	1334.571045
YAR015W	ADE1	I	+	169375	170295	10.072747	1225.016113	2987.600098
YAR018C	KIN3	I	-	170396	171703	2.683720	326.385681	795.997559
YAR019C	CDC15	I	-	172211	175135	1.175744	142.990326	348.728394
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.008929	1.085917	2.648362
YAR023C	YAR023C	I	-	179281	179820	0.622222	75.672699	184.552490
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.951403	115.706665	282.188324
YAR027W	UIP3	I	+	183770	184477	7.086330	861.817322	2101.822021
YAR028W	YAR028W	I	+	184892	185596	5.026950	611.361938	1491.005005
YAR029W	YAR029W	I	+	186321	186545	1.318886	160.398804	391.184662
YAR030C	YAR030C	I	-	186512	186853	1.067190	129.788330	316.531036
YAR031W	PRM9	I	+	186836	187732	3.212120	390.648041	952.722229
YAR033W	MST28	I	+	188107	188811	0.893857	108.708107	265.120056
YAR035W	YAT1	I	+	190193	192256	0.189367	23.030224	56.166691
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.024438	611.056458	1490.260010
YAR047C	YAR047C	I	-	201467	201787	0.511087	62.156807	151.589584
YAR050W	FLO1	I	+	203403	208016	0.202149	24.584732	59.957863
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	1.232326	149.871643	365.510742
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.467520	56.858326	138.667511
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.910317	232.326782	566.604431
YAR068W	YAR068W	I	+	222406	222891	2.582549	314.081543	765.990051
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	not_in_genome	+	335	646	0.0	0.0	0.0
Gfp_transgene_gene	Gfp_transgene_gene	Gfp_transgene	+	1	729	0.0	0.0	0.0
