Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL038W	CDC19	I	+	71786	73288	1187.625977	74333.453125	186372.437500
YAL037C-B	YAL037C-B	I	-	72326	73300	6.980970	436.938599	1095.513672
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.067164	66.793747	167.468521
YAL036C	RBG1	I	-	75043	76152	13.742793	860.160767	2156.636719
YAL035W	FUN12	I	+	76427	79435	41.882229	2621.406982	6572.518066
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.306897	81.798622	205.089478
YAL034C	FUN19	I	-	80710	81951	1.486312	93.028206	233.244812
YAL033W	POP5	I	+	82706	83227	6.395594	400.299957	1003.651428
YAL032C	PRP45	I	-	83335	84474	3.598390	225.223068	564.690186
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	2.715780	169.980560	426.183472
YAL030W	SNC1	I	+	87286	87752	10.559322	660.907471	1657.059326
YAL029C	MYO4	I	-	87855	92270	9.059942	567.061401	1421.763672
YAL028W	FRT2	I	+	92900	94486	0.410838	25.714333	64.472221
YAL027W	SAW1	I	+	94687	95472	1.348464	84.400299	211.612518
YAL026C-A	YAL026C-A	I	-	95386	95823	3.221289	201.620331	505.512268
YAL026C	DRS2	I	-	95630	99697	7.575788	474.168243	1188.857544
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	9.537459	596.949158	1496.699829
YAL024C	LTE1	I	-	101565	105872	2.469011	154.535278	387.458374
YAL023C	PMT2	I	-	106272	108551	33.493202	2096.338135	5256.040039
YAL022C	FUN26	I	-	108877	110430	6.049751	378.653656	949.378784
YAL021C	CCR4	I	-	110846	113359	8.905131	557.371765	1397.469482
YAL020C	ATS1	I	-	113614	114615	2.348303	146.980179	368.515839
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	8.929986	558.927368	1401.369873
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.615369	288.875732	724.283264
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	18.393656	1151.258057	2886.489990
YAL015C	NTG1	I	-	126903	128102	1.286667	80.532433	201.914810
YAL014C	SYN8	I	-	128252	129019	6.022135	376.925140	945.045044
YAL013W	DEP1	I	+	129270	130487	3.210591	200.950745	503.833435
YAL012W	CYS3	I	+	130799	131983	62.177216	3891.668945	9757.381836
YAL011W	SWC3	I	+	132199	134076	1.869084	116.985886	293.312683
YAL010C	MDM10	I	-	134184	135665	3.246963	203.227264	509.541260
YAL009W	SPO7	I	+	135854	136633	2.348718	147.006149	368.580963
YAL008W	FUN14	I	+	136914	137510	3.295645	206.274261	517.180847
YAL007C	ERP2	I	-	137698	138345	20.439808	1279.326660	3207.589844
tP(UGG)A	TRN1	I	+	139152	139254	2.222222	139.088776	348.730103
YAL005C	SSA1	I	-	139503	141431	692.514709	43344.464844	108675.335938
YAL004W	YAL004W	I	+	140760	141407	0.048450	3.032483	7.603189
YAL003W	EFB1	I	+	142174	143160	358.349426	22429.076172	56235.265625
snR18	snR18	I	+	142367	142468	23.186274	1451.227905	3638.588867
YAL002W	VPS8	I	+	143707	147531	2.788640	174.540848	437.617279
YAL001C	TFC3	I	-	147594	151166	2.824289	176.772125	443.211639
YAR002W	NUP60	I	+	152257	153876	6.461006	404.394104	1013.916443
YAR002C-A	ERP1	I	-	154065	154724	24.759848	1549.717651	3885.527588
YAR003W	SWD1	I	+	155005	156285	2.750976	172.183456	431.706726
YAR007C	RFA1	I	-	156754	158619	9.205050	576.143677	1444.535278
YAR008W	SEN34	I	+	158966	159793	0.966183	60.473351	151.621719
YAR009C	YAR009C	I	-	160597	164187	1662.621826	104063.429688	260912.859375
YAR010C	YAR010C	I	-	164544	165866	1887.950928	118166.757812	296273.437500
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	5.759155	360.465240	903.775940
YAR015W	ADE1	I	+	169375	170295	18.148209	1135.895508	2847.972168
YAR018C	KIN3	I	-	170396	171703	3.968654	248.397858	622.795166
YAR019C	CDC15	I	-	172211	175135	1.388991	86.936882	217.972366
YAR019W-A	YAR019W-A	I	+	174998	175330	0.341937	21.401821	53.659683
YAR020C	PAU7	I	-	176856	177023	0.000000	0.000000	0.000000
YAR023C	YAR023C	I	-	179281	179820	0.472710	29.586899	74.181702
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	9.605006	601.176941	1507.299805
YAR028W	YAR028W	I	+	184892	185596	3.687307	230.788376	578.643799
YAR029W	YAR029W	I	+	186321	186545	0.573333	35.884892	89.972328
YAR030C	YAR030C	I	-	186512	186853	0.448609	28.078417	70.399567
YAR031W	PRM9	I	+	186836	187732	3.096524	193.811295	485.933075
YAR033W	MST28	I	+	188107	188811	1.496108	93.641335	234.782089
YAR035W	YAT1	I	+	190193	192256	0.924419	57.859344	145.067749
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.989809	374.901886	939.972168
YAR047C	YAR047C	I	-	201467	201787	0.439252	27.492764	68.931190
YAR050W	FLO1	I	+	203403	208016	0.577497	36.145512	90.625778
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	0.681975	42.684784	107.021362
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.333761	20.890085	52.376637
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.864047	116.670624	292.522217
YAR068W	YAR068W	I	+	222406	222891	2.426363	151.865936	380.765656
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	not_in_genome	+	335	646	0.0	0.0	0.0
YAL069W	YAL069W	I	+	335	649	0.0	0.0	0.0
YAL068W-A	YAL068W-A	I	+	538	792	0.0	0.0	0.0
Gfp_transgene_gene	Gfp_transgene_gene	Gfp_transgene	+	1	729	0.0	0.0	0.0
