Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	24.547876	2886.592041	5659.576660
YAL041W	CDC24	I	+	62840	65404	5.549707	652.591614	1279.499390
YAL040C	CLN3	I	-	65778	67520	5.483907	644.854248	1264.329102
YAL039C	CYC3	I	-	68716	69525	5.182716	609.437073	1194.888672
YAL038W	CDC19	I	+	71786	73288	913.062073	107367.242188	210508.843750
YAL037C-B	YAL037C-B	I	-	72326	73300	7.179077	844.189758	1655.154907
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.322450	155.507294	304.894287
YAL036C	RBG1	I	-	75043	76152	13.763063	1618.402710	3173.110107
YAL035W	FUN12	I	+	76427	79435	29.408607	3458.166748	6780.231445
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	2.957471	347.769867	681.852661
YAL034C	FUN19	I	-	80710	81951	3.709340	436.182404	855.197998
YAL033W	POP5	I	+	82706	83227	5.334291	627.260803	1229.834717
YAL032C	PRP45	I	-	83335	84474	3.648684	429.049835	841.213623
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	3.371660	396.474487	777.345032
YAL030W	SNC1	I	+	87286	87752	13.203390	1552.590576	3044.075928
YAL029C	MYO4	I	-	87855	92270	8.279314	973.566956	1908.817383
YAL028W	FRT2	I	+	92900	94486	1.281037	150.637512	295.346436
YAL027W	SAW1	I	+	94687	95472	2.551345	300.013428	588.219238
YAL026C-A	YAL026C-A	I	-	95386	95823	5.760863	677.421509	1328.182007
YAL026C	DRS2	I	-	95630	99697	7.696629	905.048889	1774.477905
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	6.294246	740.142273	1451.154785
YAL024C	LTE1	I	-	101565	105872	2.353760	276.779327	542.665527
YAL023C	PMT2	I	-	106272	108551	30.108627	3540.482178	6941.622559
YAL022C	FUN26	I	-	108877	110430	5.649292	664.301880	1302.458984
YAL021C	CCR4	I	-	110846	113359	8.194511	963.594971	1889.265991
YAL020C	ATS1	I	-	113614	114615	2.071898	243.635086	477.681488
YAL019W-A	YAL019W-A	I	+	114250	114819	0.020979	2.466927	4.836763
YAL019W	FUN30	I	+	114919	118314	7.250000	852.529602	1671.506348
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	5.486082	645.109985	1264.830566
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	17.592587	2068.717285	4056.016602
YAL015C	NTG1	I	-	126903	128102	2.355833	277.023102	543.143433
YAL014C	SYN8	I	-	128252	129019	5.535156	650.880554	1276.144653
YAL013W	DEP1	I	+	129270	130487	2.998361	352.578156	691.279968
YAL012W	CYS3	I	+	130799	131983	48.703377	5727.044434	11228.690430
YAL011W	SWC3	I	+	132199	134076	2.029821	238.687241	467.980499
YAL010C	MDM10	I	-	134184	135665	2.404858	282.787964	554.446289
YAL009W	SPO7	I	+	135854	136633	2.734004	321.492340	630.331726
YAL008W	FUN14	I	+	136914	137510	5.189280	610.208984	1196.401978
YAL007C	ERP2	I	-	137698	138345	24.649691	2898.564453	5683.050293
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	674.548584	79320.367188	155518.937500
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	288.642517	33941.558594	66547.289062
snR18	snR18	I	+	142367	142468	10.970589	1290.034790	2529.297852
YAL002W	VPS8	I	+	143707	147531	2.184886	256.921387	503.731171
YAL001C	TFC3	I	-	147594	151166	3.417761	401.895508	787.973694
YAR002W	NUP60	I	+	152257	153876	7.902778	929.290039	1822.006104
YAR002C-A	ERP1	I	-	154065	154724	26.101515	3069.284668	6017.771973
YAR003W	SWD1	I	+	155005	156285	2.787178	327.745087	642.591125
YAR007C	RFA1	I	-	156754	158619	7.193462	845.881287	1658.471436
YAR008W	SEN34	I	+	158966	159793	2.617150	307.751434	603.390747
YAR009C	YAR009C	I	-	160597	164187	924.876282	108756.468750	213232.640625
YAR010C	YAR010C	I	-	164544	165866	939.336365	110456.835938	216566.453125
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	8.174413	961.231567	1884.632080
YAR015W	ADE1	I	+	169375	170295	18.520630	2177.846191	4269.979492
YAR018C	KIN3	I	-	170396	171703	2.163100	254.359543	498.708344
YAR019C	CDC15	I	-	172211	175135	2.475214	291.061157	570.667053
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.101190	11.898962	23.329618
YAR023C	YAR023C	I	-	179281	179820	1.111417	130.691864	256.240082
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	12.653955	1487.982300	2917.402344
YAR028W	YAR028W	I	+	184892	185596	9.029078	1061.731934	2081.677490
YAR029W	YAR029W	I	+	186321	186545	2.295901	269.975677	529.325989
YAR030C	YAR030C	I	-	186512	186853	0.677324	79.646721	156.158813
YAR031W	PRM9	I	+	186836	187732	5.195467	610.936462	1197.828491
YAR033W	MST28	I	+	188107	188811	3.798047	446.613464	875.649658
YAR035W	YAT1	I	+	190193	192256	0.200097	23.529465	46.132885
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.692739	669.410828	1312.475830
YAR047C	YAR047C	I	-	201467	201787	0.619938	72.898689	142.928329
YAR050W	FLO1	I	+	203403	208016	0.348938	41.031719	80.448563
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	1.461310	171.835876	336.908844
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.344849	40.550892	79.505836
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.471405	173.022949	339.236267
YAR068W	YAR068W	I	+	222406	222891	6.481482	762.159363	1494.322632
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	not_in_genome	+	335	646	0.0	0.0	0.0
Gfp_transgene_gene	Gfp_transgene_gene	Gfp_transgene	+	1	729	0.0	0.0	0.0
