#Position (bp)	mapping quality
16275.5	33.608996539792386
16317.5	17.66551724137931
16359.5	4.954714179658501
16401.5	3.3989703989703988
16443.5	11.440796019900498
16485.5	37.0
16527.5	37.0
16569.5	37.0
16611.5	37.0
16653.5	37.0
16695.5	37.0
16737.5	37.0
16764.5	37.0
