tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL014C	YAL014C	1213.48109	1314.811352	1554.788045	1125.726981	1303.666107
YAL013W	YAL013W	346.52817	633.228361	677.212841	482.435737	438.27337
YAL012W	YAL012W	11046.505377	8449.66681	10737.067334	9131.793672	10407.392713
YAL011W	YAL011W	265.89509	522.936332	414.171867	267.969664	457.487398
YAL010C	YAL010C	380.685869	331.691045	547.29854	550.672038	350.215064
YAL009W	YAL009W	1040.949767	963.781529	671.444666	354.742252	375.913709
YAL008W	YAL008W	1485.119204	1668.332668	1295.43093	562.18339	321.394971
YAL007C	YAL007C	4361.389356	4791.463264	6211.884253	3065.537385	4215.713838
tP(UGG)A	tP(UGG)A	0	0	0	3041.213987	0
YAL005C	YAL005C	159407.093193	121773.381286	148979.218593	112546.287946	111817.269649
YAL004W	YAL004W	94.812812	29263.132632	47.059729	0	95.811678
YAL003W	YAL003W	63494.658159	74348.860521	85470.362105	59372.993716	71447.847682
snR18	snR18	10422.600936	76889.975229	21145.064446	14887.362566	28511.902996
YAL002W	YAL002W	447.47902	314.341051	429.605963	415.407997	314.582491
YAL001C	YAL001C	754.196265	758.385461	666.230683	436.448717	416.44518
YAR002W	YAR002W	1785.055879	1491.399152	1654.235359	1013.244722	1267.716015
YAR002C-A	YAR002C-A	5919.816261	6478.492405	7126.449918	4167.518495	5983.051142
YAR003W	YAR003W	1103.283643	561.50479	635.831261	476.787722	578.850045
YAR007C	YAR007C	1499.540661	1411.87632	1460.365904	1349.320055	1219.554583
YAR008W	YAR008W	551.523151	824.828022	583.280106	146.200434	348.578643
YAR009C	YAR009C	219423.845753	174844.564977	186367.119405	256670.096081	231013.454222
YAR010C	YAR010C	226054.136992	196070.109525	206428.972057	281304.013317	244316.414409
tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	1274.510047	1104.931089	1673.724325	835.836695	1172.723638
YAR015W	YAR015W	3202.095632	3197.284187	4214.896604	2915.086498	2383.397982
YAR018C	YAR018C	797.87731	450.614931	495.683955	528.966288	565.139832
YAR019C	YAR019C	346.265777	445.561303	504.128447	227.413159	300.439614
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	YAR020C	0	0	0	0	0
YAR023C	YAR023C	122.284227	117.426255	322.927106	129.551541	0
tL(CAA)A	tL(CAA)A	0	0	0	0	0
tS(AGA)A	tS(AGA)A	4742.479757	0	0	0	0
YAR027W	YAR027W	2107.026093	2527.997543	3026.207742	1161.498913	1618.573605
YAR028W	YAR028W	1525.54244	972.960399	2305.202737	718.763832	942.302243
YAR029W	YAR029W	576.361598	5348.644753	5883.598619	0	0
YAR030C	YAR030C	508.136562	0	407.121954	134.002218	0
YAR031W	YAR031W	1060.937543	789.496463	1215.843025	397.068595	568.122985
YAR033W	YAR033W	84.752358	1272.332829	823.286692	224.613697	342.655361
YAR035W	YAR035W	47.959824	93.863324	41.30049	152.636487	48.541895
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR042W	YAR042W	1390.864206	1077.970893	1118.026798	900.982615	1015.383386
YAR047C	YAR047C	0	0	526.358492	149.88041	0
YAR050W	YAR050W	44.439286	122.661102	59.018446	73.024847	71.31514
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	262.242013	0	870.898156	0	262.175479
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	106.079943	294.411647	107.952577	56.218339	0
YAR064W	YAR064W	0	1326.966276	0	0	0
YAR066W	YAR066W	307.503547	1222.919836	413.917618	271.619578	1138.898943
YAR068W	YAR068W	1285.952301	4040.25926	1904.72259	378.346827	1008.25026
YAR069C	YAR069C	0	0	0	0	333.015916
YAR070C	YAR070C	0	0	0	0	0
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
